City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
249,San Patricio,US,2022-11-22 21:15:43,28.017,-97.5169,55.87,81,100,9.73
250,Srednekolymsk,RU,2022-11-22 21:15:43,67.45,153.6833,-37.66,100,64,4.92
251,Shumskiy,RU,2022-11-22 21:15:44,54.8318,99.1328,14.76,83,100,3.53
252,Angoram,PG,2022-11-22 21:15:44,-4.0625,144.0661,74.34,98,100,1.81
253,Artvin,TR,2022-11-22 21:15:44,41.1667,41.8333,49.98,58,28,1.72
254,Kihei,US,2022-11-22 21:11:21,20.785,-156.4656,82.42,71,20,21.85
255,Severo-Yeniseyskiy,RU,2022-11-22 21:15:45,60.3725,93.0408,-2.54,97,100,3.98
256,Kruisfontein,ZA,2022-11-22 21:15:45,-34.0033,24.7314,59.02,91,26,5.3
257,Caravelas,BR,2022-11-22 21:15:45,-17.7125,-39.2481,72.27,88,58,5.32
258,Mujiayingzi,CN,2022-11-22 21:15:46,42.1167,118.7833,33.01,62,16,7.0
259,Itarema,BR,2022-11-22 21:15:24,-2.9248,-39.9167,79.52,75,28,18.07
260,Mitchell,US,2022-11-22 21:15:46,43.7094,-98.0298,52.11,34,0,9.22
261,Hami,CN,2022-11-22 21:15:46,42.8,93.45,34.25,50,64,5.19
262,Belmonte,BR,2022-11-22 21:15:47,-15.8631,-38.8828,74.53,85,65,7.11
263,Kudahuvadhoo,MV,2022-11-22 21:15:47,2.6708,72.8944,81.07,78,51,14.03
264,Arenapolis,BR,2022-11-22 21:15:48,-14.4503,-56.8461,82.54,63,97,2.75
265,Kozhevnikovo,RU,2022-11-22 21:15:48,56.2589,83.9714,11.25,88,100,13.8
266,Bowen,AU,2022-11-22 21:15:48,-20.0167,148.2333,78.17,76,43,10.0
267,Baculin,PH,2022-11-22 21:15:48,7.4525,126.5842,78.1,86,95,7.0
268,Manggar,ID,2022-11-22 21:15:49,-2.8833,108.2667,79.34,86,100,6.53
269,Kamiiso,JP,2022-11-22 21:15:49,41.8167,140.65,30.58,80,75,5.75
270,Zyryanka,RU,2022-11-22 21:15:49,65.75,150.85,-22.83,96,100,7.36
271,Itaueira,BR,2022-11-22 21:15:50,-7.6033,-43.0256,86.13,39,27,3.8
272,Lavrentiya,RU,2022-11-22 21:15:50,65.5833,-171.0,3.69,87,100,17.0
273,Rio Gallegos,AR,2022-11-22 21:16:42,-51.6226,-69.2181,77.05,19,40,14.97
274,Nara,JP,2022-11-22 21:13:47,34.6851,135.8049,56.5,67,92,2.1
275,Malaia,RO,2022-11-22 21:16:51,45.35,24.0333,44.31,94,100,3.02
276,Kaitangata,NZ,2022-11-22 21:16:51,-46.2817,169.8464,57.56,56,12,5.68
277,Te Anau,NZ,2022-11-22 21:16:52,-45.4167,167.7167,46.62,92,40,4.09
278,Ardakan,IR,2022-11-22 21:16:52,32.31,54.0175,55.63,24,0,5.01
279,Hoi An,VN,2022-11-22 21:16:52,15.8794,108.335,76.96,92,80,2.51
280,Lata,PT,2022-11-22 21:16:53,40.1629,-8.3327,63.07,95,100,11.86
281,Give,DK,2022-11-22 21:16:53,55.8398,9.25,40.35,100,100,10.36
282,Strezhevoy,RU,2022-11-22 21:16:54,60.7333,77.5889,-13.81,92,58,10.78
283,Nerchinskiy Zavod,RU,2022-11-22 21:16:54,51.3088,119.61,-19.37,100,52,1.14
284,Lalganj,IN,2022-11-22 21:16:54,25.8667,85.1833,60.75,50,1,7.0
285,Bloomfield,US,2022-11-22 21:15:54,40.8068,-74.1854,51.84,39,0,11.5
286,Jinchang,CN,2022-11-22 21:16:55,38.4953,102.1739,38.8,41,100,5.14
287,Scarborough,GB,2022-11-22 21:14:43,54.2797,-0.4044,43.66,90,9,1.01
288,Praia,CV,2022-11-22 21:16:55,14.9215,-23.5087,77.54,73,0,9.22
289,Berlevag,NO,2022-11-22 21:16:56,70.8578,29.0864,30.0,93,0,8.05
290,Grenaa,DK,2022-11-22 21:16:56,56.4158,10.8783,39.94,92,100,25.68
291,Senanga,ZM,2022-11-22 21:16:56,-16.1167,23.2667,74.57,58,62,6.64
292,Severnyy,RU,2022-11-22 21:16:56,50.677,36.5532,30.24,100,100,15.66
293,Huntsville,US,2022-11-22 21:12:00,34.7304,-86.5861,60.42,33,0,0.0
